"Title","Issues","Number of signatures"
"â˜…INDICT &amp; ARREST Moon Jae-in for SMUGGLING the ChinaVirus into the US &amp; ENDANGERING the national security of US &amp; ROK!","['Foreign Policy', 'Health Care', 'Homeland Security &amp; Defense']","788,279"
"We Call For Investigations Into The ""Bill &amp; Melinda Gates Foundation"" For Medical Malpractice &amp; Crimes Against Humanity","['Health Care', 'Homeland Security &amp; Defense']","653,166"
"Qatar's secret funding to America's Higher Learning Institutes for favorable ""image"" in the country","['Civil Rights &amp; Equality', 'Education', 'Foreign Policy']","614,422"
"Terrorism To Get Upperhand If  Karman Has Representation In Social Media Regulatory Body","['Foreign Policy', 'Homeland Security &amp; Defense']","600,652"
"Justice for Breonna Taylor","['Civil Rights &amp; Equality', 'Criminal Justice Reform']","491,544"
"Justice For George Floyd","['Civil Rights &amp; Equality', 'Criminal Justice Reform']","442,276"
"Impeach Nancy Pelosi for crimes of Treason!","['Foreign Policy', 'Homeland Security &amp; Defense', 'Immigration']","400,612"
"Divest or put in a blind trust all of the President's business and financial assets","['Government &amp; Regulatory Reform']","374,734"
"Please ask New York state to overturn recent abortion expansion laws.","['Civil Rights &amp; Equality', 'Government &amp; Regulatory Reform']","323,571"
"Repeal the NFA","['Foreign Policy', 'Government &amp; Regulatory Reform', 'Gun Violence']","312,712"
"Revoke the U.S. Citizenship and Visas of the Hong Kong and China Officials who are in Support of the Extradition Bill.","['Civil Rights &amp; Equality', 'Foreign Policy', 'Immigration']","300,109"
"Do Not Repeal Net Neutrality","['Government &amp; Regulatory Reform', 'Technology &amp; Innovation']","286,057"
"Allow F-1 students to stay in the US through the fall semester if instruction is online due to the pandemic","['Education', 'Foreign Policy', 'Immigration']","282,391"
"Declare George Soros a terrorist and seize all of his related organizations' assets under RICO and NDAA law","['Criminal Justice Reform', 'Government &amp; Regulatory Reform', 'Homeland Security &amp; Defense']","270,003"
"Take actions on supporting Taiwan for joining WHO","['Civil Rights &amp; Equality', 'Foreign Policy', 'Health Care']","239,322"
"US Government will punish China Government for the execution of Emergency Regulation Ordinance in Hong Kong.","['Civil Rights &amp; Equality', 'Foreign Policy', 'Government &amp; Regulatory Reform']","235,689"
"#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017","['Civil Rights &amp; Equality']","215,316"
"Stop the landfill of Henoko / Oura Bay until a referendum can be held in Okinawa","['Energy &amp; Environment', 'Foreign Policy', 'Veterans &amp; Military']","212,492"
"Make Junius Ho Kwan Yiu and his immediate family members ineligible for U.S. Entry, Citizenship and Visas","['Civil Rights &amp; Equality', 'Foreign Policy', 'Immigration']","204,077"
"Allow International Students to Finish Their Degrees","['Economy &amp; Jobs', 'Education', 'Foreign Policy']","187,204"
